Municipi;Provincia;total censo;total votos;blancos;nulos;PSC;CiU;ICV-EUiA;ERC;SI;C s;CUP;P.P.;Otros;participacion;abstencion;validos
Abrera;Barcelona;8682;6201;117;72;1236;1080;782;571;61;599;171;962;550;71;29;6012
Aguilar de Segarra;Barcelona;201;156;0;2;3;91;8;24;4;3;14;5;2;78;22;154
Aiguafreda;Barcelona;1937;1497;20;16;101;727;96;276;44;38;59;92;28;77;23;1461
Alella;Barcelona;7010;5301;56;35;327;2384;342;795;61;342;173;652;134;76;24;5210
Alpens;Barcelona;234;214;1;0;1;137;11;43;8;2;11;0;0;91;9;213
Ametlla del Vallès, l`;Barcelona;5988;4515;39;20;230;2107;322;725;96;261;121;448;146;75;25;4456
Arenys de Mar;Barcelona;11152;7873;65;66;694;3229;595;1359;139;334;322;846;224;71;29;7742
Arenys de Munt;Barcelona;6359;4793;49;34;299;2108;321;998;105;164;222;309;184;75;25;4710
Argençola;Barcelona;188;126;2;2;1;55;5;39;3;3;6;10;0;67;33;122
Argentona;Barcelona;8952;6543;86;41;610;2644;474;973;74;386;269;733;253;73;27;6416
Artés;Barcelona;4128;3014;45;32;237;1259;117;676;42;110;189;174;133;73;27;2937
Avià;Barcelona;1763;1370;17;9;31;733;38;342;30;11;89;41;29;78;22;1344
Avinyó;Barcelona;1711;1365;22;12;42;767;42;324;17;12;49;58;20;80;20;1331
Avinyonet del Penedès;Barcelona;1226;906;15;5;67;431;77;144;10;27;31;68;31;74;26;886
Badalona;Barcelona;155331;101347;1638;858;19750;19207;13056;10216;922;10137;2337;17839;5387;65;35;98851
Badia del Vallès;Barcelona;10560;6288;90;63;1800;472;919;302;33;776;201;1063;569;60;40;6135
Bagà;Barcelona;1942;1428;22;14;168;657;70;267;25;40;55;63;47;74;26;1392
Balenyà;Barcelona;2766;2010;27;17;214;823;129;397;48;50;72;144;89;73;27;1966
Balsareny;Barcelona;2646;1820;26;13;268;662;140;305;23;83;110;110;80;69;31;1781
Barberà del Vallès;Barcelona;24213;16613;303;162;3468;2346;2501;1352;101;2010;541;2625;1204;69;31;16148
Barcelona;Barcelona;1136158;805262;9818;5485;97496;235379;95676;104564;9104;65937;31640;118883;31280;71;29;789959
Begues;Barcelona;4670;3563;48;25;272;1328;310;622;47;288;141;352;130;76;24;3490
Bellprat;Barcelona;78;52;1;3;5;24;0;7;0;0;6;4;2;67;33;48
Berga;Barcelona;12326;8791;97;57;684;3983;415;1876;185;166;601;534;193;71;29;8637
Bigues i Riells;Barcelona;6527;4481;64;46;434;1521;365;779;61;308;157;530;216;69;31;4371
Borredà;Barcelona;406;307;12;3;18;155;7;56;8;5;25;15;3;76;24;292
Bruc, el;Barcelona;1482;1066;13;10;93;387;102;173;10;58;81;84;55;72;28;1043
Brull, el;Barcelona;188;161;1;0;1;110;4;20;7;1;7;5;5;86;14;160
Cabanyes, les;Barcelona;694;571;8;11;53;259;43;98;4;14;31;38;12;82;18;552
Cabrera d`Anoia;Barcelona;1047;658;15;6;135;141;62;95;11;27;17;88;61;63;37;637
Cabrera de Mar;Barcelona;3433;2775;33;14;113;1471;160;372;37;135;80;285;75;81;19;2728
Cabrils;Barcelona;4893;3856;41;13;191;1988;220;554;72;229;109;352;87;79;21;3802
Calaf;Barcelona;2283;1735;32;12;163;799;87;294;30;32;51;147;88;76;24;1691
Calders;Barcelona;746;577;1;0;15;316;21;129;14;5;29;30;17;77;23;576
Caldes d`Estrac;Barcelona;1971;1405;13;14;125;628;107;221;13;70;50;131;33;71;29;1378
Caldes de Montbui;Barcelona;12565;8915;130;87;1099;3051;689;1678;119;520;364;866;312;71;29;8698
Calella;Barcelona;12213;8444;79;55;898;3287;567;1476;122;375;256;983;346;69;31;8310
Calldetenes;Barcelona;1846;1490;12;5;35;810;33;339;64;18;80;51;43;81;19;1473
Callús;Barcelona;1381;999;14;8;82;474;55;194;27;25;32;50;38;72;28;977
Calonge de Segarra;Barcelona;169;134;0;0;1;79;4;27;0;0;8;10;5;79;21;134
Campins;Barcelona;375;303;3;3;6;131;39;60;12;3;20;12;14;81;19;297
Canet de Mar;Barcelona;10566;7374;94;49;647;2694;678;1424;121;378;257;785;247;70;30;7231
Canovelles;Barcelona;10116;6631;124;123;1608;1176;645;422;46;799;129;1020;539;66;34;6384
Cànoves i Samalús;Barcelona;2180;1564;25;15;237;479;121;196;26;129;49;218;69;72;28;1524
Canyelles;Barcelona;3110;2083;32;28;357;598;191;217;22;134;70;324;110;67;33;2023
Capellades;Barcelona;4231;2993;50;23;431;972;174;474;36;120;244;324;145;71;29;2920
Capolat;Barcelona;69;56;0;0;0;33;2;13;3;0;5;0;0;81;19;56
Cardedeu;Barcelona;12683;9474;154;78;892;3356;949;1582;164;595;488;854;362;75;25;9242
Cardona;Barcelona;4094;2758;46;41;368;975;136;528;35;139;95;280;115;67;33;2671
Carme;Barcelona;618;467;7;2;22;224;17;124;4;6;19;32;10;76;24;458
Casserres;Barcelona;1335;1018;3;10;34;544;25;264;14;7;53;41;23;76;24;1005
Castell de l`Areny;Barcelona;59;54;1;0;2;34;1;9;2;0;5;0;0;92;8;53
Castellar de n`Hug;Barcelona;140;108;0;0;0;75;1;16;4;0;4;7;1;77;23;108
Castellar del Riu;Barcelona;143;110;1;0;1;74;2;22;1;0;6;1;2;77;23;109
Castellar del Vallès;Barcelona;17495;12813;171;97;1735;4202;1227;1998;147;953;519;1169;595;73;27;12545
Castellbell i el Vilar;Barcelona;2846;1800;27;45;275;673;95;299;26;83;35;175;67;63;37;1728
Castellbisbal;Barcelona;8775;6342;96;92;967;1532;689;833;132;638;166;797;400;72;28;6154
Castellcir;Barcelona;487;367;3;1;11;144;20;108;8;12;21;18;21;75;25;363
Castelldefels;Barcelona;39761;26763;447;231;4067;5971;2996;2318;204;3225;382;5531;1391;67;33;26085
Castellet i la Gornal;Barcelona;1728;1115;13;21;156;360;99;156;15;50;48;143;54;65;35;1081
Castellfollit de Riubregós;Barcelona;164;139;1;3;5;88;4;15;1;1;9;9;3;85;15;135
Castellfollit del Boix;Barcelona;328;236;4;3;9;122;9;52;8;2;11;8;8;72;28;229
Castellgalí;Barcelona;1494;1029;13;1;158;346;99;108;23;76;33;119;53;69;31;1015
Castellnou de Bages;Barcelona;906;669;8;5;77;253;57;107;11;38;26;64;23;74;26;656
Castellolí;Barcelona;432;367;3;2;13;214;20;80;3;5;8;14;5;85;15;362
Castellterçol;Barcelona;1861;1456;13;9;96;668;82;372;19;17;58;73;49;78;22;1434
Castellví de la Marca;Barcelona;1211;913;8;11;57;498;48;135;16;8;59;47;26;75;25;894
Castellví de Rosanes;Barcelona;1309;964;10;12;137;296;103;148;7;63;21;128;39;74;26;942
Centelles;Barcelona;5646;4184;42;44;347;1948;246;812;119;95;150;236;145;74;26;4098
Cercs;Barcelona;1097;810;14;4;132;330;45;157;23;24;25;45;11;74;26;792
Cerdanyola del Vallès;Barcelona;42746;30711;493;297;5366;6290;4066;3142;320;3521;1324;4339;1553;72;28;29921
Cervelló;Barcelona;6632;4461;60;47;586;1373;385;668;87;340;138;547;230;67;33;4354
Collbató;Barcelona;3035;2207;46;20;172;789;184;414;50;133;78;232;89;73;27;2141
Collsuspina;Barcelona;273;217;2;4;4;125;9;43;6;1;11;7;5;79;21;211
Copons;Barcelona;246;195;2;6;8;95;15;45;2;0;12;7;3;79;21;187
Corbera de Llobregat;Barcelona;9898;6639;92;48;675;2264;573;987;110;557;242;746;345;67;33;6499
Cornellà de Llobregat;Barcelona;60533;41432;596;406;11075;4697;6338;3074;222;4764;945;6566;2749;68;32;40430
Cubelles;Barcelona;10363;6645;126;63;963;1660;709;784;85;725;190;1008;332;64;36;6456
Dosrius;Barcelona;3873;2621;31;25;302;902;239;325;30;180;40;431;116;68;32;2565
Esparreguera;Barcelona;15991;10699;170;101;1693;2731;1180;1389;124;872;408;1235;796;67;33;10428
Esplugues de Llobregat;Barcelona;34050;24441;296;236;5344;4646;2868;1966;177;2567;620;4430;1291;72;28;23909
Espunyola, l`;Barcelona;217;169;6;0;6;102;3;32;6;0;6;6;2;78;22;163
Estany, l`;Barcelona;345;301;5;3;17;155;8;94;4;1;7;6;1;87;13;293
Figaró-Montmany;Barcelona;787;586;10;7;35;250;45;100;16;18;42;43;20;74;26;569
Fígols;Barcelona;38;33;0;0;6;10;0;8;2;0;1;4;2;87;13;33
Fogars de la Selva;Barcelona;1135;722;8;12;135;181;62;76;7;87;10;97;47;64;36;702
Fogars de Montclús;Barcelona;344;262;2;4;0;141;15;51;9;5;23;8;4;76;24;256
